ID;plant_tag;flowers;fruit_set;crop_size;removal;seedling;dg_visits;ss_visits;germ;plants_per_host;hab50;s50clasif;hab100;s100clasif;hab250;s250clasif;UTM_E;UTM_N;temp;temp_std;hum;hum_std;lum;lum_std
58;QM135;37;0.94;35;0.20;1;0;0;0.60;1;1.00;Native;1.00;Native;0.93;Native;614645;5571565;16.4;0.03;51;-0.93;3090;-0.17
59;QM136;37;0.94;35;0.00;0;0;2;0.60;2;0.91;Native;0.64;Native;0.65;Native;615444;5571303;16.8;0.20;47;-1.25;3780;-0.05
60;QM138;32;0.92;30;0.20;0;0;0;0.60;1;0.17;Novel;0.24;Novel;0.21;Novel;615484;5570917;18.6;0.95;52;-0.86;1450;-0.47
61;QM139;218;0.92;200;0.40;1;1;1;1.00;1;0.93;Native;0.62;Native;0.70;Native;615437;5571283;16.4;0.03;45;-1.41;3980;-0.01
62;QM140;31;0.95;30;0.20;0;0;0;0.20;2;1.00;Native;1.00;Native;1.00;Native;622529;5570651;19.0;1.12;48;-1.17;1330;-0.49
63;QM141;84;0.94;80;0.00;24;0;2;1.00;1;0.93;Native;0.93;Native;0.93;Native;613108;5570643;13.1;-1.35;75;0.96;11510;1.36
64;QM143;72;0.55;40;0.40;0;0;0;0.50;1;1.00;Native;0.32;Novel;0.37;Native;615101;5574207;17.0;0.28;54;-0.70;1440;-0.47
65;QM145;93;0.97;90;0.40;0;1;4;0.80;1;1.00;Native;0.37;Novel;0.36;Novel;615107;5574202;17.0;0.28;54;-0.70;1440;-0.47
66;QM146;36;0.97;35;0.00;0;0;2;0.60;1;0.10;Novel;0.30;Novel;0.16;Novel;613029;5570864;16.2;-0.05;85;1.75;1230;-0.51
67;QM155;27;0.91;25;0.20;0;0;2;0.00;4;0.52;Novel;0.58;Native;0.74;Native;619893;5572081;19.6;1.37;50;-1.01;8500;0.81
68;QM156;210;0.57;120;0.00;5;0;1;0.67;1;0.69;Native;0.49;Native;0.62;Native;619913;5572024;18.4;0.87;47;-1.25;2320;-0.31
69;QM157;208;0.96;200;0.10;10;0;0;1.00;1;1.00;Native;0.84;Native;0.55;Native;613691;5569432;14.2;-0.89;62;-0.07;32300;5.14
70;QM160;75;0.86;65;0.10;0;0;24;0.67;1;0.66;Novel;0.71;Native;0.72;Native;619851;5572212;19.1;1.16;51;-0.93;6150;0.38
