Condition	Video	Date	Time	Time_2
B	E02-0229	23/09/2017	12:08:00	0.505555556
B	E02-0230	23/09/2017	15:40:00	0.652777778
B	E02-0231	24/09/2017	8:26:00	0.351388889
B	E02-0233	24/09/2017	9:59:00	0.415972222
B	E02-0234	24/09/2017	11:09:00	0.464583333
B	E02-0238	25/09/2017	8:05:00	0.336805556
B	E02-0244	25/09/2017	16:49:00	0.700694444
B	E02-0247	26/09/2017	7:56:00	0.330555556
B	E02-0249	26/09/2017	12:27:00	0.51875
B	E02-0274	27/09/2017	11:04:00	0.461111111
B	E02-0276	28/09/2017	16:01:00	0.667361111
B	E02-0277	29/09/2017	8:25:00	0.350694444
B	E02-0279	30/09/2017	8:14:00	0.343055556
B	E02-0280	30/09/2017	10:14:00	0.426388889
B	E02-0281	30/09/2017	13:16:00	0.552777778
B	E02-0282	01/10/2017	9:23:00	0.390972222
B	E02-0283	02/10/2017	8:55:00	0.371527778
B	E02-0285	02/10/2017	10:02:00	0.418055556
B	E02-0287	02/10/2017	11:32:00	0.480555556
B	E02-0289	02/10/2017	14:32:00	0.605555556
B	E02-0290	03/10/2017	7:15:00	0.302083333
B	E02-0291	03/10/2017	8:52:00	0.369444444
B	E02-0292	03/10/2017	9:25:00	0.392361111
B	E02-0293	03/10/2017	10:03:00	0.41875
B	E02-0294	03/10/2017	11:00:00	0.458333333
B	E02-0295	03/10/2017	12:53:00	0.536805556
B	E02-0297	03/10/2017	14:19:00	0.596527778
B	E02-0312	04/10/2017	7:23:00	0.307638889
B	E02-0315	04/10/2017	8:56:00	0.372222222
B	E02-0318	04/10/2017	9:57:00	0.414583333
B	E02-0326	04/10/2017	12:50:00	0.534722222
A	E04A-0111	05/08/2017	7:57:00	0.33125
A	E04A-0112	05/08/2017	8:43:00	0.363194444
A	E04A-0114	05/08/2017	11:23:00	0.474305556
A	E04A-0115	05/08/2017	12:46:00	0.531944444
A	E04A-0116	05/08/2017	13:43:00	0.571527778
A	E04A-0122	06/08/2017	7:49:00	0.325694444
A	E04A-0124	06/08/2017	8:53:00	0.370138889
A	E04A-0125	06/08/2017	9:56:00	0.413888889
A	E04A-0126	06/08/2017	10:32:00	0.438888889
A	E04A-0127	06/08/2017	11:14:00	0.468055556
A	E04A-0129	06/08/2017	11:52:00	0.494444444
A	E04A-0131	06/08/2017	12:45:00	0.53125
A	E04A-0134	06/08/2017	13:36:00	0.566666667
A	E04A-0136	06/08/2017	14:39:00	0.610416667
A	E04A-0138	06/08/2017	15:32:00	0.647222222
A	E04A-0142	06/08/2017	17:38:00	0.734722222
A	E04A-0143	07/08/2017	7:49:00	0.325694444
A	E04A-0146	07/08/2017	8:51:00	0.36875
A	E04A-0147	07/08/2017	9:32:00	0.397222222
A	E04A-0149	07/08/2017	10:09:00	0.422916667
A	E04A-0152	07/08/2017	11:34:00	0.481944444
A	E04A-0154	07/08/2017	12:12:00	0.508333333
A	E04A-0156	07/08/2017	13:05:00	0.545138889
A	E04A-0157	07/08/2017	13:55:00	0.579861111
A	E04A-0159	07/08/2017	15:56:00	0.663888889
A	E04A-0160	07/08/2017	17:00:00	0.708333333
A	E04A-0161	07/08/2017	17:40:00	0.736111111
A	E04A-0163	08/08/2017	7:50:00	0.326388889
A	E04A-0164	08/08/2017	8:37:00	0.359027778
A	E04A-0166	08/08/2017	9:08:00	0.380555556
A	E04A-0168	08/08/2017	9:43:00	0.404861111
A	E04A-0170	08/08/2017	10:54:00	0.454166667
A	E04A-0171	08/08/2017	12:40:00	0.527777778
A	E04A-0172	08/08/2017	14:56:00	0.622222222
A	E04A-0173	08/08/2017	16:06:00	0.670833333
A	E04A-0174	09/08/2017	7:32:00	0.313888889
A	E04A-0180	09/08/2017	8:16:00	0.344444444
A	E04A-0182	09/08/2017	9:24:00	0.391666667
A	E04A-0184	09/08/2017	10:07:00	0.421527778
A	E04A-0186	09/08/2017	10:58:00	0.456944444
A	E04A-0188	09/08/2017	11:35:00	0.482638889
