Condition	Video	Date	Photo.Time	Time_2
A	N11-0202	09/08/2017	15:19:00	0.638194444
A	N11-0207	09/08/2017	15:58:00	0.665277778
A	N11-0212	09/08/2017	16:31:00	0.688194444
A	N11-0215	09/08/2017	17:38:00	0.734722222
A	N11-0308	10/08/2017	7:47:00	0.324305556
A	N11-0310	10/08/2017	8:45:00	0.364583333
A	N11-0311	10/08/2017	12:24:00	0.516666667
A	N11-0312	10/08/2017	14:50:00	0.618055556
A	N11-0313	10/08/2017	15:30:00	0.645833333
A	N11-0315	10/08/2017	16:21:00	0.68125
A	N11-0316	10/08/2017	17:05:00	0.711805556
A	N11-0318	10/08/2017	18:06:00	0.754166667
A	N11-0319	11/08/2017	7:33:00	0.314583333
A	N11-0321	11/08/2017	8:09:00	0.339583333
A	N11-0322	11/08/2017	9:59:00	0.415972222
A	N11-0323	11/08/2017	11:32:00	0.480555556
A	N11-0324	11/08/2017	12:07:00	0.504861111
A	N11-0332	11/08/2017	12:49:00	0.534027778
A	N11-0336	11/08/2017	13:39:00	0.56875
A	N11-0341	11/08/2017	14:23:00	0.599305556
A	N11-0344	11/08/2017	15:12:00	0.633333333
A	N11-0346	11/08/2017	15:48:00	0.658333333
A	N11-0347	11/08/2017	16:23:00	0.682638889
A	N11-0348	11/08/2017	17:21:00	0.722916667
A	N11-0349	11/08/2017	17:52:00	0.744444444
A	N11-0350	12/08/2017	7:31:00	0.313194444
A	N11-0352	12/08/2017	9:02:00	0.376388889
A	N11-0353	12/08/2017	9:50:00	0.409722222
A	N11-0355	12/08/2017	10:39:00	0.44375
A	N11-0357	12/08/2017	11:12:00	0.466666667
A	N11-0362	12/08/2017	11:43:00	0.488194444
A	N11-0371	12/08/2017	12:36:00	0.525
A	N11-0380	12/08/2017	13:25:00	0.559027778
A	N11-0385	12/08/2017	14:06:00	0.5875
A	N11-0392	12/08/2017	14:37:00	0.609027778
A	N11-0398	12/08/2017	15:18:00	0.6375
A	N11-0401	12/08/2017	16:11:00	0.674305556
A	N11-0402	12/08/2017	16:51:00	0.702083333
A	N11-0403	12/08/2017	17:45:00	0.739583333
A	N11-0407	13/08/2017	7:41:00	0.320138889
A	N11-0409	13/08/2017	8:16:00	0.344444444
A	N11-0412	13/08/2017	10:18:00	0.429166667
A	N11-0414	13/08/2017	11:13:00	0.467361111
A	N11-0418	13/08/2017	12:15:00	0.510416667
A	N11-0426	13/08/2017	13:04:00	0.544444444
A	N11-0438	13/08/2017	14:10:00	0.590277778
A	N11-0445	13/08/2017	14:57:00	0.622916667
A	N11-0446	13/08/2017	15:32:00	0.647222222
A	N11-0448	13/08/2017	16:28:00	0.686111111
A	N11-0449	13/08/2017	17:08:00	0.713888889
A	N11-0451	13/08/2017	17:46:00	0.740277778
A	N11-0453	14/08/2017	7:32:00	0.313888889
A	N11-0455	14/08/2017	9:03:00	0.377083333
A	N11-0458	14/08/2017	10:51:00	0.452083333
A	N11-0465	14/08/2017	12:13:00	0.509027778
A	N11-0478	14/08/2017	13:11:00	0.549305556
A	N11-0480	14/08/2017	13:50:00	0.576388889
A	N11-0484	14/08/2017	14:33:00	0.60625
A	N11-0486	14/08/2017	15:18:00	0.6375
A	N11-0488	14/08/2017	16:12:00	0.675
A	N11-0491	14/08/2017	17:08:00	0.713888889
A	N11-0492	14/08/2017	17:46:00	0.740277778
A	N11-0494	15/08/2017	7:28:00	0.311111111
A	N11-0498	15/08/2017	8:18:00	0.345833333
A	N11-0499	15/08/2017	8:51:00	0.36875
A	N11-0500	15/08/2017	9:28:00	0.394444444
A	N11-0501	15/08/2017	10:12:00	0.425
A	N11-0504	15/08/2017	11:32:00	0.480555556
A	N11-0507	15/08/2017	12:53:00	0.536805556
A	N11-0509	15/08/2017	13:31:00	0.563194444
A	N11-0510	15/08/2017	14:04:00	0.586111111
A	N11-0513	15/08/2017	14:48:00	0.616666667
A	N11-0515	15/08/2017	15:35:00	0.649305556
A	N11-0517	15/08/2017	16:10:00	0.673611111
A	N11-0518	15/08/2017	16:42:00	0.695833333
A	N11-0520	15/08/2017	17:29:00	0.728472222
A	N11-0521	15/08/2017	18:13:00	0.759027778
A	N11-0522	16/08/2017	7:35:00	0.315972222
A	N11-0523	16/08/2017	8:10:00	0.340277778
A	N11-0524	16/08/2017	9:27:00	0.39375
A	N11-0526	16/08/2017	10:15:00	0.427083333
A	N11-0527	16/08/2017	10:52:00	0.452777778
A	N11-0529	16/08/2017	11:37:00	0.484027778
A	N11-0531	16/08/2017	12:25:00	0.517361111
A	N11-0535	16/08/2017	13:07:00	0.546527778
A	N11-0537	16/08/2017	13:56:00	0.580555556
A	N11-0541	16/08/2017	14:47:00	0.615972222
A	N11-0542	16/08/2017	15:23:00	0.640972222
A	N11-0549	17/08/2017	11:49:00	0.492361111
A	N11-0550	17/08/2017	15:31:00	0.646527778
A	N11-0554	18/08/2017	9:37:00	0.400694444
A	N11-0555	18/08/2017	10:08:00	0.422222222
A	N11-0561	18/08/2017	11:10:00	0.465277778
A	N11-0592	19/08/2017	8:42:00	0.3625
A	N11-0594	19/08/2017	9:56:00	0.413888889
A	N11-0739	23/08/2017	7:40:00	0.319444444
A	N11-0759	23/08/2017	8:28:00	0.352777778
A	N11-0792	23/08/2017	9:28:00	0.394444444
A	N11-0856	23/08/2017	11:39:00	0.485416667
A	N11B-0008	30/08/2017	12:25:00	0.517361111
A	N11B-0019	30/08/2017	13:01:00	0.542361111
A	N11B-0031	30/08/2017	13:35:00	0.565972222
A	N11B-0044	30/08/2017	14:15:00	0.59375
A	N11B-0054	30/08/2017	15:01:00	0.625694444
A	N11B-0062	30/08/2017	15:35:00	0.649305556
A	N11B-0069	30/08/2017	16:53:00	0.703472222
A	N11B-0080	30/08/2017	17:49:00	0.742361111
A	N11B-0110	31/08/2017	11:10:00	0.465277778
A	N11B-0111	31/08/2017	14:30:00	0.604166667
A	N11B-0112	01/09/2017	7:28:00	0.311111111
A	N11B-0113	01/09/2017	8:16:00	0.344444444
A	N11B-0114	01/09/2017	8:47:00	0.365972222
A	N11B-0117	01/09/2017	9:54:00	0.4125
A	N11B-0119	01/09/2017	10:42:00	0.445833333
A	N11B-0123	01/09/2017	12:04:00	0.502777778
A	N11B-0128	01/09/2017	12:40:00	0.527777778
A	N11B-0132	01/09/2017	13:25:00	0.559027778
A	N11B-0135	01/09/2017	14:24:00	0.6
A	N11B-0144	01/09/2017	17:04:00	0.711111111
A	N11B-0147	02/09/2017	8:01:00	0.334027778
A	N11B-0148	02/09/2017	9:04:00	0.377777778
A	N11B-0149	02/09/2017	9:38:00	0.401388889
A	N11B-0150	02/09/2017	10:12:00	0.425
A	N11B-0156	02/09/2017	11:08:00	0.463888889
A	N11B-0159	02/09/2017	11:47:00	0.490972222
A	N11B-0162	02/09/2017	12:31:00	0.521527778
A	N11B-0170	02/09/2017	13:08:00	0.547222222
A	N11B-0173	02/09/2017	13:43:00	0.571527778
A	N11B-0175	02/09/2017	14:16:00	0.594444444
A	N11B-0178	02/09/2017	15:11:00	0.632638889
A	N11B-0183	02/09/2017	15:44:00	0.655555556
A	N11B-0188	02/09/2017	16:43:00	0.696527778
A	N11B-0190	02/09/2017	17:27:00	0.727083333
A	N11B-0191	02/09/2017	18:27:00	0.76875
A	N11B-0193	03/09/2017	7:13:00	0.300694444
A	N11B-0194	03/09/2017	8:07:00	0.338194444
A	N11B-0196	03/09/2017	9:34:00	0.398611111
A	N11B-0199	03/09/2017	10:16:00	0.427777778
A	N11B-0200	03/09/2017	10:48:00	0.45
A	N11B-0202	03/09/2017	11:47:00	0.490972222
A	N11B-0203	03/09/2017	12:19:00	0.513194444
A	N11B-0205	03/09/2017	13:14:00	0.551388889
A	N11B-0207	03/09/2017	14:16:00	0.594444444
A	N11B-0209	03/09/2017	14:49:00	0.617361111
A	N11B-0212	03/09/2017	15:24:00	0.641666667
A	N11B-0219	03/09/2017	16:13:00	0.675694444
A	N11B-0224	03/09/2017	16:49:00	0.700694444
A	N11B-0227	03/09/2017	17:29:00	0.728472222
A	N11B-0229	04/09/2017	7:00:00	0.291666667
A	N11B-0232	04/09/2017	10:04:00	0.419444444
A	N11B-0250	04/09/2017	11:18:00	0.470833333
A	N11B-0286	04/09/2017	12:47:00	0.532638889
A	N11B-0305	04/09/2017	13:30:00	0.5625
A	N11B-0311	04/09/2017	14:13:00	0.592361111
